상품코드,상품명,매입단가,매입단가 계산,매출단가,매출단가 계산,실매출단가,VAT
P00191,버터와플,0,1091,1500,1500,1500,Y
P00192,보그aromeI,1844,1844,0,2434.08,2430,Y
P00193,보솜이대형,901,901,2000,2000,2000,Y
P00194,본드,0,727,1000,1000,1000,Y
P00195,봉지커피,8240,8240,0,10876.8,10870,Y
P00196,불고기맛한마리오징어,0,2182,3000,3000,3000,Y
P00197,블랙빈테라피,341,341,0,450.12,450,Y
P00198,블루마운틴,491,491,1500,1500,1500,Y
P00199,비타 파워,204,204,1200,1200,1200,Y
P00200,비타파워 210㎖병(박스),0,945,1300,1300,1300,Y
P00201,빅파이,0,1309,1800,1800,1800,Y
P00202,빠다코코낫,413,413,0,545.16,540,Y
P00203,빵또아,0,727,1000,1000,1000,Y
P00204,뻥소리,1639,1639,0,2163.48,2160,Y
P00205,뻥튀기,0,873,1200,1200,1200,Y
P00206,뽀또치즈,1967,1967,0,2596.44,2590,Y
P00207,산소수,655,655,0,864.6,860,Y
P00208,삼각대 중,13934,13934,0,18392.88,18390,Y
P00209,삼다수녹차,0,1091,1500,1500,1500,Y
P00210,새우깡,386,386,0,509.52,500,Y
P00211,새우탕면,0,727,1000,1000,1000,Y
P00212,생녹차(패트),491,491,1300,1300,1300,Y
P00213,생수,0,727,1000,1000,1000,Y
P00214,샴푸린스,0,218,300,300,300,Y
P00215,석기공룡알,295,295,0,389.4,380,Y
P00216,석류사랑초(델몬트),0,800,1100,1100,1100,Y
P00217,선글라스10000,1885,1885,10000,10000,10000,Y
P00218,선글라스20000,0,14545,20000,20000,20000,Y
P00219,선글라스25000,1885,1885,0,2488.2,2480,Y
P00220,셀렘원,1844,1844,0,2434.08,2430,Y
P00221,소라,0,1091,1500,1500,1500,Y
P00222,소라형과자,0,1091,1500,1500,1500,Y
P00223,소보로,655,655,0,864.6,860,Y
P00224,솔의 눈 240㎖캔,0,727,1000,1000,1000,Y
P00225,솔잎꿀차,491,491,1200,1200,1200,Y
P00226,순두유견과,614,614,0,810.48,810,Y
P00227,순두유녹차,614,614,0,810.48,810,Y
P00228,스위스헤이즐넛초콜릿,655,655,0,864.6,860,Y
P00229,스윙칩,0,1455,2000,2000,2000,Y
P00230,스타벅스 프라프치노커피,1803,1803,3800,3800,3800,Y
P00231,신라면큰사발면,555,555,0,732.6,730,Y
P00232,신생녹차,0,945,1300,1300,1300,Y
